 Flow ID, Source IP, Destination IP, Timestamp, Attack Category, Flow Duration, Total Fwd Packets, Total Backward Packets, Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Mean, Bwd Packet Length Mean, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, SYN Flag Count, ACK Flag Count, Down/Up Ratio, Average Packet Size, Idle Mean, Active Mean, Label
synthetic-flow-000000,10.42.0.1,172.18.0.10,2017-07-03 08:00:00,attack,36720.00310880797,13,2,1755.64629739,197.015301895,135.049715184,98.5076509474,0.053177054302,0.000408496697442,2448.00020725,1,7,0.153846153846,130.177439953,15186.6099861,4015.30935023, DoS Hulk
synthetic-flow-000001,10.42.1.2,172.18.1.11,2017-07-04 09:01:00,attack,11403.327563123587,34,4,1198.85716766,338.394025677,35.260504931,84.5985064192,0.134807246817,0.00333236064558,300.087567451,1,4,0.117647058824,40.4539787719,7108.99528621,3599.97141369,PortScan
synthetic-flow-000002,10.42.2.3,172.18.2.12,2017-07-05 10:02:00,attack,34738.42769581243,17,7,3192.71285522,731.63640912,187.806638542,104.519487017,0.112968534405,0.000690877555258,1447.43448733,2,3,0.411764705882,163.514552681,18077.7467304,11847.7008787,DoS Hulk
synthetic-flow-000003,10.42.3.4,172.18.3.13,2017-07-06 11:03:00,none,27833.353923318533,31,2,3507.85736597,209.451617859,113.156689225,104.725808929,0.133555912596,0.00118562786543,843.434967373,0,0,0.0645161290323,112.645726783,12602.007045,6520.71936384,BENIGN
synthetic-flow-000004,10.42.4.5,172.18.4.14,2017-07-07 12:04:00,none,48167.78216511589,13,12,823.77606909,535.439680969,63.36738993,44.6199734141,0.0282183585991,0.000519019121833,1926.7112866,2,0,0.923076923077,54.3686300024,14587.5179314,5747.22146116,BENIGN
synthetic-flow-000005,10.42.5.6,172.18.5.15,2017-07-03 13:05:00,none,42762.454172142476,9,0,962.861504512,0,106.984611612,0,0.0225165164898,0.000210465001933,4751.3837969,1,3,0,106.984611612,31265.1013193,4310.76459885, BENIGN
synthetic-flow-000006,10.42.6.7,172.18.6.16,2017-07-04 14:06:00,none,74234.39469880189,4,7,347.026168216,1044.71372387,86.756542054,149.244817696,0.0187479119044,0.000148179291346,6748.58133625,0,3,1.75,126.521808372,23854.9727752,24692.0870509,BENIGN
synthetic-flow-000007,10.42.7.8,172.18.7.17,2017-07-05 15:07:00,attack,18127.737617158542,11,8,2190.49910479,491.670573625,199.136282254,61.4588217031,0.147959427429,0.0010481175534,954.091453535,1,10,0.727272727273,141.16682518,11173.4450814,6025.54255731,Web Attack
synthetic-flow-000008,10.42.8.9,172.18.0.18,2017-07-06 16:08:00,none,23548.78378725201,4,0,643.548845519,0,160.88721138,0,0.0273283262241,0.000169860152275,5887.19594681,1,3,0,160.88721138,6135.26093929,2640.73945869,BENIGN
synthetic-flow-000009,10.42.9.10,172.18.1.19,2017-07-07 08:09:00,attack,26685.583870682112,29,40,2623.96968036,4890.49340294,90.4817131157,122.262335073,0.281592605195,0.00258566574126,386.747592329,5,7,1.37931034483,108.905262077,11098.3047929,7243.42026371,DoS Hulk
