Flow ID,Source IP,Destination IP,Timestamp,Traffic Period,Attack Family,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,SYN Flag Count,ACK Flag Count,Down/Up Ratio,Average Packet Size,Idle Mean,Active Mean,Label
synthetic-flow-00000000,10.42.0.1,172.18.0.10,2026-01-05 08:00:00,period-1,none,237151.49467132927,14,2,2356.83154734,142.110993662,168.345110525,71.0554968309,10537.325706,67.467422131,14821.968417,1,1,0.142857142857,156.183908813,115472.742441,35121.4790914, BENIGN
synthetic-flow-00000001,10.42.1.2,172.18.1.11,2026-01-05 09:01:07,period-1,none,34671.98416230915,10,6,1365.38512948,555.192819739,136.538512948,92.5321366232,55392.7903356,461.467677336,2166.99901014,2,2,0.6,120.036121826,19996.5344869,5942.61799831,BENIGN
synthetic-flow-00000002,10.42.2.3,172.18.2.12,2026-01-05 10:02:14,period-1,none,16028.09896375565,6,6,802.654914276,812.527180772,133.775819046,135.421196795,100771.906806,748.685170159,1335.67491365,0,3,1,134.598507921,8740.6988806,1894.01612946,BENIGN
synthetic-flow-00000003,10.42.3.4,172.18.3.13,2026-01-05 11:03:21,period-1,none,137507.07271927843,3,4,361.273562961,204.771168403,120.424520987,51.1927921008,4116.47721219,50.9064723841,19643.8675313,0,4,1.33333333333,80.863533052,66762.8539422,35066.7845095,BENIGN
synthetic-flow-00000004,10.42.4.5,172.18.4.14,2026-01-05 12:04:28,period-1,none,39115.59847158568,6,5,909.646034326,797.506147286,151.607672388,159.501229457,43643.7699618,281.217734863,3555.96349742,0,2,0.833333333333,155.195652874,13986.9206233,10043.2819676,BENIGN
synthetic-flow-00000005,10.42.5.6,172.18.5.15,2026-01-05 13:05:35,period-1,denial-of-service,25638.731059933012,11,6,1404.93107551,241.134788289,127.721006865,40.1891313815,64202.3140675,663.059336293,1508.16065058,2,3,0.545454545455,96.827403753,15334.1559299,2937.69725081, ATTACK
synthetic-flow-00000006,10.42.6.7,172.18.6.16,2026-01-05 14:06:42,period-1,none,15779.408429127996,11,3,2382.93490811,419.155407736,216.630446192,139.718469245,177578.920555,887.232247196,1127.10060208,1,6,0.272727272727,200.149308275,9823.10895104,2017.07476326,BENIGN
synthetic-flow-00000007,10.42.7.8,172.18.7.17,2026-01-05 15:07:49,period-1,denial-of-service,183178.69973119802,22,4,2617.38256601,465.999639064,118.971934819,116.499909766,16832.6459878,141.937900193,7045.33460505,2,1,0.181818181818,118.591623272,76140.7543375,39234.2195423,ATTACK
synthetic-flow-00000008,10.42.8.9,172.18.0.18,2026-01-05 16:08:56,period-1,none,9741.250898220873,8,3,1042.09128567,827.012544262,130.261410709,275.670848087,191875.134873,1129.21842533,885.568263475,0,5,0.375,169.918529994,5715.43222123,1051.67312865,BENIGN
synthetic-flow-00000009,10.42.9.10,172.18.1.19,2026-01-05 17:09:03,period-1,none,19133.75853719086,6,3,1372.23743496,331.567407979,228.70623916,110.522469326,89047.0546926,470.372822073,2125.9731708,3,5,0.5,189.311649215,6437.42112781,4208.77559596,BENIGN
synthetic-flow-00000010,10.42.10.11,172.18.2.20,2026-01-05 08:10:10,period-1,none,10545.613894465036,17,4,1801.97406419,914.055453924,105.998474364,228.513863481,257550.631504,1991.3492197,502.172090213,0,1,0.235294117647,129.334738958,3716.99964335,2443.30548843, BENIGN
synthetic-flow-00000011,10.42.11.12,172.18.3.21,2026-01-05 09:11:17,period-1,none,14114.778527940423,14,5,1721.99883072,449.945644603,122.99991648,89.9891289206,153877.332969,1346.10684556,742.883080418,1,2,0.357142857143,114.312867122,5441.80520373,1230.81386915,BENIGN
synthetic-flow-00000012,10.42.12.13,172.18.4.22,2026-01-05 10:12:24,period-1,denial-of-service,31331.05830406593,14,16,3330.96506972,3906.57692563,237.926076409,244.161057852,231002.155277,957.516331202,1044.36861014,5,6,1.14285714286,241.251399845,16717.5942608,3512.30140909,ATTACK
synthetic-flow-00000013,10.42.13.14,172.18.5.23,2026-01-05 11:13:31,period-1,none,38314.00230532226,5,4,726.227568786,578.468786665,145.245513757,144.617196666,34052.7294709,234.901066411,4257.11136726,1,2,0.8,144.966261717,14012.6866218,5717.22842535,BENIGN
synthetic-flow-00000014,10.42.14.15,172.18.6.24,2026-01-05 12:14:38,period-1,scanning,18036.71716727677,23,16,3771.2086546,1799.48333757,163.965593678,112.467708598,308852.87719,2162.2560047,462.479927366,1,2,0.695652173913,142.83825621,9834.6779279,3926.69184405,ATTACK
synthetic-flow-00000015,10.42.15.16,172.18.7.25,2026-01-05 13:15:45,period-1,none,128946.68199994885,5,5,938.50810166,403.690098062,187.701620332,80.7380196124,10408.9394074,77.551433235,12894.6682,0,3,1,134.219819972,65808.0247457,21190.9938176, BENIGN
synthetic-flow-00000016,10.42.0.17,172.18.0.26,2026-01-05 14:16:52,period-1,scanning,25261.319671764137,17,9,3593.41264519,457.457995606,211.377214423,50.8286661784,160358.631039,1029.24155736,971.589218145,3,2,0.529411764706,155.802716954,16035.5303087,4157.07616643,ATTACK
synthetic-flow-00000017,10.42.1.18,172.18.1.27,2026-01-05 15:17:59,period-1,none,78940.2210421425,10,7,2080.95302473,560.281751066,208.095302473,80.0402501523,33458.6696227,215.352829971,4643.54241424,0,2,0.7,155.366751517,45440.7890441,12063.449829,BENIGN
synthetic-flow-00000018,10.42.2.19,172.18.2.28,2026-01-05 16:18:06,period-1,none,222434.21300550475,15,2,3271.69018449,206.665122733,218.112678966,103.332561366,15637.6811832,76.4270917243,13084.3654709,1,3,0.133333333333,204.609135719,84620.4338101,41255.1909338,BENIGN
synthetic-flow-00000019,10.42.3.20,172.18.3.29,2026-01-05 17:19:13,period-1,none,127528.47451514451,13,8,1270.26657474,633.011758874,97.7128134412,79.1264698592,14924.3401589,164.669106879,6072.78450072,0,1,0.615384615385,90.6323016005,63175.5510474,23034.9766546,BENIGN
